Symbol, Unicode, Value, Features
m, 006D, vd bilabial nasal, -SYLLABIC +CONSONANTAL +SONORANT -CONTINUANT NASAL +VOICE LABIAL
n, 006E, vd alveolar nasal, -SYLLABIC +CONSONANTAL +SONORANT -CONTINUANT NASAL +VOICE CORONAL +ANTERIOR -DISTRIB
ŋ, 014B, vd velar nasal, -SYLLABIC +CONSONANTAL +SONORANT -CONTINUANT NASAL +VOICE DORSAL
p, 0070, vl bilabial stop, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT -VOICE LABIAL
b, 0062, vd bilabial stop, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT +VOICE LABIAL
t, 0074, vl alveolar stop, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT -VOICE CORONAL +ANTERIOR -DISTRIB
d, 0064, vd alveolar stop, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT +VOICE CORONAL +ANTERIOR -DISTRIB
k, 006B, vl velar stop, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT -VOICE DORSAL
ɡ, 0261, vd velar stop, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT +VOICE DORSAL
t͡ʃ, 0074 0361 0283, vl postalveolar affricate, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT DELREL -VOICE CORONAL -ANTERIOR -DISTRIB +STRIDENT
d͡ʒ, 0064 0361 0292, vd postalveolar affricate, -SYLLABIC +CONSONANTAL -SONORANT -CONTINUANT DELREL +VOICE CORONAL -ANTERIOR -DISTRIB +STRIDENT
f, 0066, vl labiodental fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT -VOICE LABIAL +STRIDENT
v, 0076, vd labiodental fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT +VOICE LABIAL +STRIDENT
θ, 03B8, vl dental fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT -VOICE CORONAL +ANTERIOR +DISTRIB -STRIDENT
ð, 00F0, vd dental fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT +VOICE CORONAL +ANTERIOR +DISTRIB -STRIDENT
s, 0073, vl alveolar fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT -VOICE CORONAL +ANTERIOR -DISTRIB +STRIDENT
z, 007A, vd alveolar fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT +VOICE CORONAL +ANTERIOR -DISTRIB +STRIDENT
ʃ, 0283, vl postalveolar fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT -VOICE CORONAL -ANTERIOR +DISTRIB +STRIDENT
ʒ, 0292, vd postalveolar fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT +VOICE CORONAL -ANTERIOR +DISTRIB +STRIDENT
h, 0068, vl glottal fricative, -SYLLABIC +CONSONANTAL -SONORANT +CONTINUANT -VOICE LARYNGEAL -STRIDENT
l, 006C, vd alveolar lateral approximant, -SYLLABIC +CONSONANTAL +SONORANT +CONTINUANT LATERAL +VOICE CORONAL +ANTERIOR +DISTRIB
ɹ, 0279, vd alveolar approximant, -SYLLABIC +CONSONANTAL +SONORANT +CONTINUANT +VOICE CORONAL +ANTERIOR +DISTRIB
j, 006A, vd palatal approximant, -SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +VOICE DORSAL
ʍ, 028D, vl labial-velar co-articulated approximant, -SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT -VOICE LABIAL DORSAL 
w, 0077, vd labial-velar co-articulated approximant, -SYLLABIC -CONSONANTAL +SONORANT +CONTINUANT +VOICE LABIAL DORSAL
